text@evl1943m	@evl1943m	276.46	281.9	мать у него секретарь Французской Акадэ... Академии / знаменитая Элен Каррер д'Анкосс //
text@evl1943m	@evl1943m	281.91	285.69	она когда-то предсказала развал СССР за несколько лет //
text@evl1943m	@evl1943m	285.69	289.01	то есть она вообще #нрзб# / небожитель для французов //
text@evl1943m	@evl1943m	289.03	293.41	и у него / ммм / там по-моему сестра зам. министра и так  далее //
text@evl1943m	@evl1943m	293.42	296.98	то есть он такой влиятельный французский буржуа //
text@evl1943m	@evl1943m	296.98	299.49	и плюс знаменитый писатель //
text@evl1943m	@evl1943m	299.55	301.46	и конечно он убедил / вот //
text@evl1943m	@evl1943m	301.46	303.91	Гонкуровской премии ему не дали из-за меня //
text@evl1943m	@evl1943m	303.91	309.69	потому что слишком / негодяй как бы вот герой такой вот / эээ / бог знает кто //
text@evl1943m	@evl1943m	309.7	311.57	эээ / #нрзб# //
text@evl1943m	@evl1943m	311.57	316.1	он всю книгу он / ммм / перетасовывает два вопроса и два ответа //
text@evl1943m	@evl1943m	316.11	318.79	то есть это кто нег... / мерзавец или герой //
text@evl1943m	@evl1943m	318.81	320.2	и в общем //
text@evl1943m	@evl1943m	321.01	323.19	и в результате он / он не делает выбора //
text@evl1943m	@evl1943m	323.19	335.12	но с... / он пок... / ну ему удается показать несколько раз вот меня / эээ / как скорей ммм такого / ммм / симпатичного мерзавца //
text@evl1943m	@evl1943m	335.15	339.4	например с... / следуя их / терминологии //
text@evl1943m	@evl1943m	339.4	351.31	я-то ко... / конечно себя считаю / добрым человеком и / и великолепным отцом / эээ / и про... / и великим писателем все так / и так далее //
text@evl1943m	@evl1943m	351.9	353.2	я это говорю с иронией //
text@evl1943m	@evl1943m	354.19	355.8	пусть люди поймут а то скажут //
text@evl1943m	@evl1943m	363.885	366.795	понимаете оглянуться не успел а / вот как-то это все //
text@evl1943m	@evl1943m	366.8	369.8	была жизнь / я делал какие-то выборы //
text@evl1943m	@evl1943m	369.81	374.79	и я одно могу сказать что я делал все время необычные выборы //
text@evl1943m	@evl1943m	374.79	380.22	то есть там где другой человек отступал а я вот / сломя голову бросался в такую ситуацию //
text@evl1943m	@evl1943m	380.89	381.5	эээ //
text@evl1943m	@evl1943m	382.91	385.64	ну это старая / занудная история //
text@evl1943m	@evl1943m	385.64	387.68	могла бы быть другая совершенно фамилия //
text@evl1943m	@evl1943m	387.71	398.2	это мы из / литературной игры / которую мы в Харькове когда-то / эээ / такие / эээ / литературные юноши / вот мы для ся придумали //
words@dig1967m	@dig1967m	91.01	91.233	добрый
words@dig1967m	@dig1967m	91.233	91.456	день
words@dig1967m	@dig1967m	91.456	91.68	//
words@dig1967m	@dig1967m	93.77	94.013	да
words@dig1967m	@dig1967m	94.013	94.256	да
words@dig1967m	@dig1967m	94.256	94.499	я
words@dig1967m	@dig1967m	94.499	94.742	очень
words@dig1967m	@dig1967m	94.742	94.985	рад
words@dig1967m	@dig1967m	94.985	95.228	что
words@dig1967m	@dig1967m	95.228	95.471	мы
words@dig1967m	@dig1967m	95.471	95.714	снова
words@dig1967m	@dig1967m	95.714	95.957	встречаемся
words@dig1967m	@dig1967m	95.957	96.2	//
words@dig1967m	@dig1967m	97.495	97.728	что
words@dig1967m	@dig1967m	97.728	97.961	мы
words@dig1967m	@dig1967m	97.961	98.194	оба
words@dig1967m	@dig1967m	98.194	98.427	живы
words@dig1967m	@dig1967m	98.427	98.66	и
words@dig1967m	@dig1967m	98.66	98.893	поверьте
words@dig1967m	@dig1967m	98.893	99.126	/
words@dig1967m	@dig1967m	99.126	99.359	вопросов
words@dig1967m	@dig1967m	99.359	99.592	к
words@dig1967m	@dig1967m	99.592	99.825	вам
words@dig1967m	@dig1967m	99.825	100.058	за
words@dig1967m	@dig1967m	100.058	100.291	эти
words@dig1967m	@dig1967m	100.291	100.524	годы
words@dig1967m	@dig1967m	100.524	100.757	меньше
words@dig1967m	@dig1967m	100.757	100.99	не
words@dig1967m	@dig1967m	100.99	101.223	стало
words@dig1967m	@dig1967m	101.223	101.456	#смеется#
words@dig1967m	@dig1967m	101.456	101.689	которые
words@dig1967m	@dig1967m	101.689	101.922	мы
words@dig1967m	@dig1967m	101.922	102.155	не
